              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   20.95  121  2.48  14  7 79  2.85 3.78 3.49
   12.56 6278 77.03  13  9 78  2.85 3.78 3.49
   40.41 5539 218.60  12 10 78  2.85 3.78 3.49
  100.07 5458 533.43  10  9 81  2.94 3.78 3.49
   57.83 6048 341.56   9 11 80  2.94 3.78 3.49
    5.62 6056 33.23   6  8 86  2.94 3.78 3.49
    8.21 5155 41.31  13  9 78  2.94 3.78 3.49
   27.90 5269 143.56   8  7 85  2.94 3.78 3.49
   26.69 5108 133.14   8  7 85  2.79 3.73 3.48
   41.91 5334 218.30  10  8 82  2.79 3.73 3.48
   10.18 4863 48.34   8  7 84  2.79 3.73 3.48
    8.30 4790 38.84  10  8 82  2.79 3.73 3.48
   21.61 4805 101.39  11  7 81  2.79 3.73 3.48
   11.35 4999 55.40  11  8 82  2.64 3.69 3.46
   14.46 4740 66.92   9  7 84  2.64 3.69 3.46
   22.92 5328 119.25   9  8 83  2.64 3.69 3.46
   44.31 5657 244.79  11  9 79  2.64 3.69 3.46
   19.14 5403 101.00   9  7 85  2.64 3.69 3.46
    7.56 5047 37.25   9  8 83  4.27 4.01 3.58
    6.46 4665 29.41   9  8 84  4.27 4.01 3.58
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.68 5356 40.18  14  9 76  4.27 4.01 3.58
    7.90 4666 36.00  10  9 81  4.27 4.01 3.58
    7.08 5224 36.11  11  8 81  4.27 4.01 3.58
   10.32 5115 51.56  11  7 81  4.25 4.01 3.58
   10.85 4892 51.83  10  7 82  4.25 4.01 3.58
    6.71 4386 28.74  10  8 82  4.25 4.01 3.58
   10.36 4643 46.99  14 10 76  4.25 4.01 3.58
    6.31 4519 27.86  29 11 60  4.25 4.01 3.58
    8.45 4624 38.17  16  8 75  4.07 3.97 3.57
    8.10 4486 35.47  14  9 78  4.07 3.97 3.57
    6.48 4689 29.67  16  9 75  4.07 3.97 3.57
    8.16 4473 35.66  19  9 71  4.07 3.97 3.57
    8.44 4620 38.08  18 10 72  4.07 3.97 3.57
    8.48 4421 36.60  16  8 76  3.98 3.96 3.57
    8.05 4836 38.03  17  9 74  3.98 3.96 3.57
   11.79 4659 53.62  17  8 74  3.98 3.96 3.57
   13.71 5290 70.81  17  9 74  3.98 3.96 3.57
   15.98 5424 84.64  21 10 69  3.98 3.96 3.57
   39.55 5615 216.85  20  9 71  3.67 3.89 3.54
   14.46 5038 71.15  19  9 72  3.67 3.89 3.54
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   10.76 5093 53.52  14  8 78  3.67 3.89 3.54
    9.64 5406 50.89  18  8 73  3.67 3.89 3.54
